sqft_living,bedrooms,age_years,neighborhood,garage,price
3928,4,9,south,yes,536549.42
3900,2,0,east,no,566502.89
3404,2,1,south,yes,469920.56
1233,1,35,south,yes,159823.02
1782,3,32,north,no,240763.0
3088,1,2,south,no,425750.08
4197,3,26,south,yes,577853.72
3559,1,20,south,no,457574.37
2199,2,42,north,yes,341964.72
1561,4,74,east,yes,288536.98
4063,2,51,east,no,556619.32
1702,1,68,south,no,191272.39
1930,1,14,east,yes,347825.72
4077,4,16,south,yes,566219.43
2687,2,56,east,no,372400.9
1662,2,23,north,yes,249527.14
768,2,63,east,yes,167886.11
2233,3,34,north,yes,302334.94
4151,2,15,south,yes,560012.12
2242,1,63,east,no,296831.73
3163,3,41,south,no,419184.95
1622,4,60,east,yes,274606.83
3425,3,33,south,no,442830.46
3426,4,9,south,yes,469763.62
2848,1,51,south,yes,362841.87
3412,1,9,north,no,486144.83
2746,2,49,east,yes,428879.07
2055,2,31,north,no,296150.62
3295,4,59,north,yes,453474.7
3631,2,65,south,no,461253.62
3651,1,30,south,yes,491757.47
1485,1,66,south,yes,182173.27
3084,2,8,north,yes,435758.1
764,6,8,east,yes,195396.75
2723,1,74,east,yes,399249.84
2720,2,43,north,yes,413170.44
2004,1,33,north,yes,288953.49
4179,2,11,east,yes,554551.82
3796,1,21,north,yes,516168.03
883,1,51,east,yes,157600.4
1470,1,61,east,no,211999.71
1467,2,68,south,yes,214424.38
3846,1,30,south,yes,499009.97
2540,1,34,north,yes,341454.04
3264,4,12,south,no,437019.1
3544,4,6,south,yes,501137.05
3398,4,32,east,yes,500753.62
1057,1,43,north,yes,150599.73
1234,2,7,south,no,187385.86
2113,1,30,north,yes,308046.67
1917,4,48,north,no,279840.14
3327,2,60,north,no,399342.85
1289,2,70,south,yes,198905.16
2031,3,25,east,yes,291959.39
1566,2,29,south,no,213073.43
1401,2,65,south,yes,185754.43
1346,1,51,east,yes,231175.22
1424,3,20,east,yes,282341.91
2697,4,51,north,no,393807.77
2164,1,11,north,yes,305008.71
2251,4,33,east,yes,382816.48
2403,2,22,east,yes,381038.73
3306,2,74,east,yes,426220.29
3723,2,2,south,yes,537883.72
2566,3,64,east,no,344210.05
2965,3,21,east,yes,461100.95
3298,1,2,east,yes,491343.28
3131,5,49,north,yes,453939.46
1213,3,50,north,no,180831.62
4141,2,10,east,no,589728.55
1318,2,2,north,yes,203797.39
2170,1,8,east,no,332915.08
3001,1,30,south,yes,384568.26
2141,3,9,north,no,308366.64
1588,3,52,north,yes,254661.46
3935,2,5,north,yes,558524.61
996,1,59,north,yes,148869.4
1598,2,65,east,no,260216.26
4175,1,53,east,yes,562185.33
3267,2,70,south,yes,398436.82
1050,4,70,east,yes,206656.86
3353,3,3,east,yes,503303.25
4094,4,25,south,yes,541352.12
1087,1,57,north,yes,174538.69
2178,6,25,north,no,348427.63
2365,2,55,north,no,285238.31
1201,3,58,south,yes,156430.53
1441,1,74,east,no,221402.32
1349,2,24,north,no,195426.84
1389,1,26,east,yes,252018.74
2142,2,1,north,no,329692.77
2350,4,21,south,yes,327302.85
1571,1,21,east,no,231250.33
1748,1,33,east,no,301443.77
1413,1,31,north,yes,225142.27
3496,5,64,east,yes,504701.67
1480,2,58,east,no,219069.07
3881,3,54,north,no,493290.06
2609,1,0,north,no,340631.7
3519,2,35,south,yes,478343.42
2945,3,54,south,yes,380048.48
1667,1,18,south,no,249229.62
2824,1,31,north,no,364100.68
1695,2,54,south,yes,218549.7
1159,2,59,south,yes,163808.57
1628,3,64,south,yes,186189.0
1700,4,32,east,yes,305586.17
1215,1,29,north,no,179427.85
831,1,28,north,no,152543.37
4006,3,50,south,no,473354.51
2521,2,31,east,yes,407671.59
2137,1,30,north,yes,319536.79
3958,1,12,north,yes,551540.78
1525,3,35,east,yes,275401.02
2139,4,17,north,yes,357612.14
3671,1,39,south,yes,442615.61
2930,4,66,south,no,394054.86
2127,2,58,south,no,258345.07
1632,2,35,east,no,236050.77
871,2,73,east,yes,149983.47
1043,2,73,east,no,176613.56
1308,3,33,east,yes,236946.61
3463,1,57,north,yes,453963.32
2955,1,25,east,yes,399341.72
2245,2,65,north,no,256222.24
3451,1,28,east,no,499560.97
1304,3,19,north,no,232860.4
1477,3,10,north,yes,236798.66
2104,1,63,north,yes,283658.01
3915,5,22,east,yes,601881.13
2869,2,60,north,no,378287.61
3685,5,6,south,no,513378.02
1606,1,37,east,yes,286180.77
3676,1,32,east,yes,500175.18
1000,2,32,east,yes,207321.21
1535,1,12,north,no,228768.72
